name,url,stargazers,watchers,forkCount,isFork,commitComments,releases,createdAt,primaryLanguage
system-design-primer,https://github.com/donnemartin/system-design-primer,85375,4444,14514,False,3,0,2017-02-26T16:15:28Z,Python
awesome-python,https://github.com/vinta/awesome-python,80297,5190,15828,False,23,0,2014-06-27T21:00:06Z,Python
public-apis,https://github.com/public-apis/public-apis,72361,2079,8283,False,7,0,2016-03-20T23:49:42Z,Python
youtube-dl,https://github.com/ytdl-org/youtube-dl,62930,1834,10914,False,1504,290,2010-10-31T14:35:07Z,Python
models,https://github.com/tensorflow/models,62371,2994,39850,False,136,10,2016-02-05T01:15:20Z,Python
thefuck,https://github.com/nvbn/thefuck,52572,821,2638,False,26,14,2015-04-08T15:08:04Z,Python
flask,https://github.com/pallets/flask,49440,2282,13357,False,147,9,2010-04-06T11:11:59Z,Python
django,https://github.com/django/django,47867,2213,20720,False,1648,0,2012-04-28T02:47:18Z,Python
keras,https://github.com/keras-team/keras,47255,2072,17875,False,227,22,2015-03-28T00:35:42Z,Python
httpie,https://github.com/jakubroztocil/httpie,46072,1080,2976,False,30,32,2012-02-25T12:39:13Z,Python
awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,43864,3332,11087,False,3,0,2014-07-15T19:11:19Z,Python
ansible,https://github.com/ansible/ansible,42246,2020,18600,False,789,3,2012-03-06T14:58:02Z,Python
requests,https://github.com/psf/requests,41932,1411,7605,False,346,0,2011-02-13T18:38:17Z,Python
scikit-learn,https://github.com/scikit-learn/scikit-learn,39776,2239,19379,False,2525,17,2010-08-17T09:43:38Z,Python
scrapy,https://github.com/scrapy/scrapy,36434,1832,8434,False,91,12,2010-02-22T02:01:14Z,Python
big-list-of-naughty-strings,https://github.com/minimaxir/big-list-of-naughty-strings,35373,826,1558,False,10,0,2015-08-08T20:57:20Z,Python
face_recognition,https://github.com/ageitgey/face_recognition,32890,1497,9135,False,7,2,2017-03-03T21:52:39Z,Python
shadowsocks,https://github.com/shadowsocks/shadowsocks,32465,2098,19714,False,396,2,2012-04-20T13:10:49Z,Python
core,https://github.com/home-assistant/core,32115,1130,9754,False,438,538,2013-09-17T07:29:48Z,Python
you-get,https://github.com/soimort/you-get,31442,1269,6294,False,147,102,2012-08-20T15:53:36Z,Python
cpython,https://github.com/python/cpython,29873,1128,13885,False,416,0,2017-02-10T19:23:51Z,Python
XX-Net,https://github.com/XX-net/XX-Net,29728,1803,7867,False,193,288,2015-01-15T09:35:51Z,Python
faceswap,https://github.com/deepfakes/faceswap,29505,1369,9442,False,50,2,2017-12-19T09:44:13Z,Python
12306,https://github.com/testerSunshine/12306,28407,841,9105,False,9,1,2017-05-17T12:23:40Z,Python
HelloGitHub,https://github.com/521xueweihan/HelloGitHub,28088,1864,4063,False,8,9,2016-05-04T06:24:11Z,Python
100-Days-Of-ML-Code,https://github.com/Avik-Jain/100-Days-Of-ML-Code,28078,2281,7046,False,5,0,2018-07-05T09:11:43Z,Python
CppCoreGuidelines,https://github.com/isocpp/CppCoreGuidelines,26557,2033,3520,False,87,4,2015-08-19T20:22:52Z,Python
certbot,https://github.com/certbot/certbot,26431,852,2822,False,239,5,2014-11-12T02:52:20Z,Python
Deep-Learning-Papers-Reading-Roadmap,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap,25763,2157,5909,False,0,0,2016-10-14T11:49:48Z,Python
sentry,https://github.com/getsentry/sentry,24260,667,2756,False,618,53,2010-08-30T22:06:41Z,Python
python-patterns,https://github.com/faif/python-patterns,24025,1612,5082,False,7,0,2012-06-06T21:02:35Z,Python
pandas,https://github.com/pandas-dev/pandas,24003,1035,9601,False,596,57,2010-08-24T01:37:33Z,Python
AiLearning,https://github.com/apachecn/AiLearning,23694,1452,8227,False,23,2,2017-02-25T08:53:02Z,Python
localstack,https://github.com/localstack/localstack,23541,467,1718,False,11,11,2016-10-25T23:48:03Z,Python
Detectron,https://github.com/facebookresearch/Detectron,22971,993,5068,False,12,0,2017-10-05T17:32:00Z,Python
jieba,https://github.com/fxsjy/jieba,22190,1293,5540,False,13,9,2012-09-29T07:52:01Z,Python
bert,https://github.com/google-research/bert,22009,920,6071,False,6,0,2018-10-25T22:57:34Z,Python
linux-insides,https://github.com/0xAX/linux-insides,20861,1343,2308,False,2,0,2015-01-03T18:44:57Z,Python
YouCompleteMe,https://github.com/ycm-core/YouCompleteMe,20789,603,2390,False,98,0,2012-04-16T03:12:14Z,Python
gym,https://github.com/openai/gym,19984,980,5640,False,63,5,2016-04-27T14:59:16Z,Python
ItChat,https://github.com/littlecodersh/ItChat,19969,914,4660,False,16,13,2016-01-19T07:49:48Z,Python
pipenv,https://github.com/pypa/pipenv,19812,384,1488,False,96,6,2017-01-20T00:44:02Z,Python
wtfpython,https://github.com/satwikkansal/wtfpython,19514,655,1831,False,0,2,2017-08-28T20:22:19Z,Python
compose,https://github.com/docker/compose,18988,678,3013,False,102,123,2013-12-09T11:40:58Z,Python
tornado,https://github.com/tornadoweb/tornado,18901,1068,5152,False,145,0,2009-09-09T04:55:16Z,Python
incubator-mxnet,https://github.com/apache/incubator-mxnet,18467,1169,6593,False,385,20,2015-04-30T16:21:15Z,Python
HanLP,https://github.com/hankcs/HanLP,18425,1086,5112,False,52,49,2014-10-09T06:36:16Z,Python
cheat.sh,https://github.com/chubin/cheat.sh,18382,467,897,False,14,0,2017-05-07T21:40:56Z,Python
mitmproxy,https://github.com/mitmproxy/mitmproxy,18185,568,2359,False,71,31,2010-02-16T04:10:13Z,Python
data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,18131,1551,5611,False,1,0,2015-01-23T19:38:29Z,Python
data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,18131,1551,5611,False,1,0,2015-01-23T19:38:29Z,Python
manim,https://github.com/3b1b/manim,18005,540,2160,False,29,0,2015-03-22T18:50:58Z,Python
funNLP,https://github.com/fighting41love/funNLP,17877,808,5334,False,12,0,2018-08-21T11:20:39Z,Python
algorithms,https://github.com/keon/algorithms,16965,651,3404,False,17,0,2016-11-17T22:32:08Z,Python
django-rest-framework,https://github.com/encode/django-rest-framework,16830,564,4892,False,347,13,2011-03-02T17:13:56Z,Python
sqlmap,https://github.com/sqlmapproject/sqlmap,16641,925,3605,False,84,5,2012-06-26T09:52:15Z,Python
d2l-zh,https://github.com/d2l-ai/d2l-zh,16514,805,4227,False,22,10,2017-08-23T04:40:24Z,Python
python-fire,https://github.com/google/python-fire,16462,376,1013,False,9,5,2017-02-21T21:35:07Z,Python
airflow,https://github.com/apache/airflow,16036,674,6127,False,360,15,2015-04-13T18:04:58Z,Python
Mask_RCNN,https://github.com/matterport/Mask_RCNN,16021,563,7559,False,36,3,2017-10-19T20:28:34Z,Python
spaCy,https://github.com/explosion/spaCy,16013,562,2837,False,36,65,2014-07-03T15:15:40Z,Python
pytorch-tutorial,https://github.com/yunjey/pytorch-tutorial,15898,534,5007,False,1,0,2017-03-10T07:41:47Z,Python
ML-From-Scratch,https://github.com/eriklindernoren/ML-From-Scratch,15698,804,3028,False,3,0,2017-02-05T12:11:23Z,Python
macOS-Security-and-Privacy-Guide,https://github.com/drduh/macOS-Security-and-Privacy-Guide,15638,712,1121,False,17,0,2015-08-31T03:36:35Z,Python
Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning,15627,501,2848,False,1,0,2019-05-26T08:56:15Z,Python
glances,https://github.com/nicolargo/glances,15485,513,1027,False,79,19,2011-12-04T08:49:15Z,Python
ZeroNet,https://github.com/HelloZeroNet/ZeroNet,15484,851,2005,False,91,22,2015-01-12T00:41:38Z,Python
black,https://github.com/psf/black,15168,169,853,False,19,2,2018-03-14T19:54:45Z,Python
NLP-progress,https://github.com/sebastianruder/NLP-progress,14929,1185,2541,False,6,2,2018-06-22T17:43:55Z,Python
GitHub-Chinese-Top-Charts,https://github.com/kon9chunkit/GitHub-Chinese-Top-Charts,14826,818,1971,False,0,0,2019-09-05T03:01:56Z,Python
hosts,https://github.com/StevenBlack/hosts,14814,555,1323,False,83,210,2012-04-12T20:22:50Z,Python
magenta,https://github.com/tensorflow/magenta,14767,826,3005,False,7,40,2016-05-05T20:10:40Z,Python
celery,https://github.com/celery/celery,14597,502,3635,False,227,4,2009-04-24T11:31:24Z,Python
pyspider,https://github.com/binux/pyspider,14168,900,3455,False,31,13,2014-02-21T19:18:47Z,Python
TensorFlow-Course,https://github.com/machinelearningmindset/TensorFlow-Course,14134,809,2823,False,1,1,2018-10-02T18:10:12Z,Python
