idtitlecreatedAtclosedAtclosed
MDU6SXNzdWUyODQyOTEwMTM=what's wrong ?2017-12-23T07:03:00Z2017-12-27T00:42:06ZTrue
MDU6SXNzdWUyODQ4NzA5MDA=ur code looks very similar to Sqlmap!2017-12-28T08:58:10Z2017-12-28T13:34:27ZTrue
MDU6SXNzdWUyODU1Njk0MzE=Firewalls2018-01-02T23:58:15Z2018-01-15T16:34:43ZTrue
MDU6SXNzdWUyODYxNzc4NjA=Threading2018-01-05T03:01:04Z2018-08-27T20:10:17ZTrue
MDU6SXNzdWUyOTU3MjA0MTg=WAFs to be implemented 2018-02-09T01:01:12Z2018-05-24T13:32:40ZTrue
MDU6SXNzdWUyOTU3MjA4NTU=Update comments2018-02-09T01:03:52Z2018-04-26T21:51:27ZTrue
MDU6SXNzdWUyOTU3MjE4NjQ=Multiple encodings2018-02-09T01:09:31Z2018-05-24T13:32:09ZTrue
MDU6SXNzdWUzMTczOTY5NTY=Unknown Firewall (1eebec90cc8895319ee0ee4f9eb84c249113de40)2018-04-24T21:11:38Z2018-04-24T21:12:17ZTrue
MDU6SXNzdWUzMTczOTg3NDk=Unknown Firewall (1eebec90cc8895319ee0ee4f9eb84c24)2018-04-24T21:17:36Z2018-04-24T21:18:21ZTrue
MDU6SXNzdWUzMTczOTk1ODg=Unknown Firewall (c)2018-04-24T21:20:31Z2018-04-24T21:21:30ZTrue
MDU6SXNzdWUzMTc0MDAwNzk=Unknown Firewall (e)2018-04-24T21:22:18Z2018-04-24T21:23:45ZTrue
MDU6SXNzdWUzMTc0MDAzNzI=Unknown Firewall (6556c02e4)2018-04-24T21:23:14Z2018-04-24T21:28:23ZTrue
MDU6SXNzdWUzMTc0MDE4ODU=Unknown Firewall (6556c02e4)2018-04-24T21:28:28Z2018-04-24T21:29:36ZTrue
MDU6SXNzdWUzMTc0MDIyMzQ=Unknown Firewall (6556c02e4)2018-04-24T21:29:41Z2018-04-24T21:32:47ZTrue
MDU6SXNzdWUzMTc0ODA0OTM=Unknown Firewall (6556c02e4)2018-04-25T05:10:57Z2018-04-25T14:30:29ZTrue
MDU6SXNzdWUzMTc2MjE1ODI=test2018-04-25T13:11:03Z2018-04-25T13:11:10ZTrue
MDU6SXNzdWUzMTc2MjQyNzI=Auto issue creation2018-04-25T13:17:53Z2018-04-25T13:48:19ZTrue
MDU6SXNzdWUzMTc3MzQ5MzU=Unknown Firewall (6556c02e4)2018-04-25T18:03:33Z2018-04-25T18:30:43ZTrue
MDU6SXNzdWUzMjA4MTc2MDg=Unknown Firewall (8f9e022f2)2018-05-07T14:04:58Z2018-05-07T14:07:38ZTrue
MDU6SXNzdWUzMjA4MTg2NDY=Unknown Firewall (8f9e022f2)2018-05-07T14:07:57Z2018-05-07T14:08:09ZTrue
MDU6SXNzdWUzMjA4MjA2NDQ=Unknown Firewall (8f9e022f2)2018-05-07T14:13:33Z2018-05-07T14:13:44ZTrue
MDU6SXNzdWUzMjA4MzI2NDQ=Unknown Firewall (8f9e022f2)2018-05-07T14:45:49Z2018-05-07T14:46:07ZTrue
MDU6SXNzdWUzMjExMTE2NjU=Unknown Firewall (43b718f85)2018-05-08T09:33:51Z2018-05-08T14:08:31ZTrue
MDU6SXNzdWUzMjE5MTE2OTU=--batch option2018-05-10T12:18:58Z2018-05-10T16:19:36ZTrue
MDU6SXNzdWUzMjE5MTQzMjQ=--json option2018-05-10T12:29:36Z2018-05-10T16:56:46ZTrue
MDU6SXNzdWUzMjIwMDA1NDc=Unknown Firewall (cf0c59c53)2018-05-10T16:44:40Z2018-05-10T16:45:00ZTrue
MDU6SXNzdWUzMjIwMDI5MDA=Unknown Firewall (cf0c59c53)2018-05-10T16:52:08Z2018-05-10T16:52:39ZTrue
MDU6SXNzdWUzMjIwMTk0NDI=Unknown Firewall (24b9c12d9)2018-05-10T17:43:48Z2018-05-10T17:48:27ZTrue
MDU6SXNzdWUzMjIwMjExMDg=Unknown Firewall (24b9c12d9)2018-05-10T17:49:02Z2018-05-10T17:50:32ZTrue
MDU6SXNzdWUzMjIwMjE3NTY=Unknown Firewall (9423d1e9c)2018-05-10T17:51:08Z2018-05-10T18:02:26ZTrue
MDU6SXNzdWUzMjIwMzg2MzQ=Unknown Firewall (683e62936)2018-05-10T18:42:23Z2018-05-10T20:29:39ZTrue
MDU6SXNzdWUzMjIwNDAxNjk=Unknown Firewall (39cba151c)2018-05-10T18:47:04Z2018-05-10T19:59:15ZTrue
MDU6SXNzdWUzMjIwNDIyOTM=Unknown Firewall (0631a1b33)2018-05-10T18:53:36Z2018-05-10T20:29:48ZTrue
MDU6SXNzdWUzMjIwNTYxMTI=Unknown Firewall (b9f0668d2)2018-05-10T19:36:14Z2018-05-10T20:29:58ZTrue
MDU6SXNzdWUzMjIwNjEzNTY=Unknown Firewall (15c954de2)2018-05-10T19:52:34Z2018-05-10T19:57:25ZTrue
MDU6SXNzdWUzMjIwNjkyMzY=Unknown Firewall (a4ba1ca6a)2018-05-10T20:17:00Z2018-05-14T17:01:01ZTrue
MDU6SXNzdWUzMjIwNzMyNzA=Unknown Firewall (173ef32ac)2018-05-10T20:29:21Z2018-05-10T20:30:23ZTrue
MDU6SXNzdWUzMjIwNzM2MDc=Unknown Firewall (14b35d85b)2018-05-10T20:30:21Z2018-05-10T20:45:29ZTrue
MDU6SXNzdWUzMjIwNzgwOTM=Unknown Firewall (7ba620f97)2018-05-10T20:43:32Z2018-05-10T20:45:29ZTrue
MDU6SXNzdWUzMjIwODI0MTA=Unknown Firewall (a18cca5c7)2018-05-10T20:57:36Z2018-05-11T20:15:24ZTrue
MDU6SXNzdWUzMjI0MDUzODk=Unknown Firewall (74a7520d0)2018-05-11T19:15:53Z2018-05-11T20:28:32ZTrue
MDU6SXNzdWUzMjI0ODk4MTc=Unknown Firewall (1a33eef07)2018-05-12T07:15:42Z2018-05-12T13:27:49ZTrue
MDU6SXNzdWUzMjI2ODEwMDQ=Unknown Firewall (ba2193b29)2018-05-14T05:53:53Z2018-05-14T17:00:37ZTrue
MDU6SXNzdWUzMjMzNjEyMTA=Unknown Firewall (e641f8ec3)2018-05-15T19:58:16Z2018-05-15T20:09:53ZTrue
MDU6SXNzdWUzMjMzNjE4NzA=Unknown Firewall (3b73aa221)2018-05-15T20:00:20Z2018-05-15T20:09:53ZTrue
MDU6SXNzdWUzMjMzNzMxNDk=Unknown Firewall (a2a57b2cc)2018-05-15T20:35:05Z2018-05-15T21:03:42ZTrue
MDU6SXNzdWUzMjMzNzM3MDI=Unknown Firewall (b31175767)2018-05-15T20:36:48Z2018-05-15T21:25:13ZTrue
MDU6SXNzdWUzMjMzNzQ5MTQ=Unknown Firewall (1c82527b3)2018-05-15T20:40:24Z2018-05-15T21:25:22ZTrue
MDU6SXNzdWUzMjMzODAwMDk=Unknown Firewall (428aea4f3)2018-05-15T20:55:51Z2018-05-15T21:03:59ZTrue
MDU6SXNzdWUzMjMzODA2Mzc=Unknown Firewall (fba3acf91)2018-05-15T20:57:37Z2018-05-15T21:25:36ZTrue
MDU6SXNzdWUzMjMzODQ4MTU=Unknown Firewall (02ec8d12e)2018-05-15T21:10:58Z2018-05-15T21:13:37ZTrue
MDU6SXNzdWUzMjMzODU1Njk=Unknown Firewall (a245adf98)2018-05-15T21:13:19Z2018-05-15T21:13:58ZTrue
MDU6SXNzdWUzMjMzOTU5NjQ=Unknown Firewall (6e65ab0ef)2018-05-15T21:49:16Z2018-05-16T13:12:44ZTrue
MDU6SXNzdWUzMjMzOTYyMjk=Unknown Firewall (a4d5002b2)2018-05-15T21:50:14Z2018-05-16T14:44:07ZTrue
MDU6SXNzdWUzMjM0NDA5Mzg=Unknown Firewall (5006937b5)2018-05-16T01:48:15Z2018-05-16T13:12:23ZTrue
MDU6SXNzdWUzMjM2MTEyNTc=Unknown Firewall (2a2b49460)2018-05-16T13:03:29Z2018-05-16T13:14:38ZTrue
MDU6SXNzdWUzMjM2MTM3NTU=Unknown Firewall (555a9457f)2018-05-16T13:10:14Z2018-05-16T14:44:16ZTrue
MDU6SXNzdWUzMjM2MTYxMDI=Unknown Firewall (5f2f305e4)2018-05-16T13:16:12Z2018-05-16T14:44:28ZTrue
MDU6SXNzdWUzMjM2MjcxNDQ=Unknown Firewall (d22fe6f00)2018-05-16T13:43:34Z2018-05-16T14:44:37ZTrue
MDU6SXNzdWUzMjM2MzMyMjU=Unknown Firewall (02827d7b6)2018-05-16T13:57:36Z2018-05-16T14:08:42ZTrue
MDU6SXNzdWUzMjM2NDAxMTI=Unknown Firewall (12b196a5c)2018-05-16T14:13:30Z2018-05-16T14:13:46ZTrue
MDU6SXNzdWUzMjQ1MTUzNTQ=specify a custom tamper directory2018-05-18T18:49:24Z2018-05-24T20:03:03ZTrue
MDU6SXNzdWUzMjQ4NzY2ODA=Unknown Firewall (c9d46f6b1)2018-05-21T11:06:37Z2018-05-22T13:43:47ZTrue
MDU6SXNzdWUzMjUxNzk3MTU=Unknown Firewall (f17167aef)2018-05-22T07:57:14Z2018-05-22T13:43:20ZTrue
MDU6SXNzdWUzMjU0NDY0MTg=Unknown Firewall (151750c2d)2018-05-22T20:14:56Z2018-05-22T20:26:46ZTrue
MDU6SXNzdWUzMjYwMzkyODk=Queries2018-05-24T09:33:16Z2018-06-12T15:27:14ZTrue
MDU6SXNzdWUzMjYxNDA0NjA=Unknown Firewall (4ec7a51c3)2018-05-24T14:10:58Z2018-05-24T18:26:35ZTrue
MDU6SXNzdWUzMjY3MTQwMTA=Unknown Firewall (fd1e8a37e)2018-05-26T06:14:46Z2018-06-05T13:45:14ZTrue
MDU6SXNzdWUzMjY3OTA4Nzg=Unknown Firewall (149505652)2018-05-27T06:19:15Z2018-06-04T20:02:39ZTrue
MDU6SXNzdWUzMjcyMDQwNjY=Unknown Firewall (aa8b43d1e)2018-05-29T07:42:38Z2018-06-02T23:42:06ZTrue
MDU6SXNzdWUzMjc4NTIzMjY=Unknown Firewall (78d7c2ec3)2018-05-30T18:41:47Z2018-06-02T23:42:24ZTrue
MDU6SXNzdWUzMjg4NDc4MTQ= error message 2018-06-03T17:49:07Z2018-06-04T21:54:54ZTrue
MDU6SXNzdWUzMjg5NDE5MDU=copyright problems (sqlmap)2018-06-04T07:41:02Z2018-06-04T20:36:47ZTrue
MDU6SXNzdWUzMjg5NTc0NjM=Unknown Firewall (ccbb2fd73)2018-06-04T08:33:06Z2018-06-04T20:00:30ZTrue
MDU6SXNzdWUzMjkwMjE2NDM=WhatWaf has caught an unhandled exception with the error message: 'list index out of range'2018-06-04T11:48:00Z2018-06-05T07:11:51ZTrue
MDU6SXNzdWUzMjkyMzA0OTQ=[FATAL] WhatWaf has caught an unhandled exception with the error message: 'Invalid percent-escape sequence: 'u0''2018-06-04T21:53:08Z2018-06-05T13:42:39ZTrue
MDU6SXNzdWUzMjk4ODQwNzk=error2018-06-06T14:07:53Z2018-06-07T03:00:31ZTrue
MDU6SXNzdWUzMzA0ODAyOTE=Unknown Firewall (58ee23a27)2018-06-08T00:30:58Z2018-06-08T14:13:36ZTrue
MDU6SXNzdWUzMzA3MDQzNjg=Unknown Firewall (e89b808ff)2018-06-08T15:29:45Z2018-06-08T16:05:13ZTrue
MDU6SXNzdWUzMzA4MjIyMDc=Unknown Firewall (85a03ba39)2018-06-08T22:38:13Z2018-06-09T16:21:54ZTrue
MDU6SXNzdWUzMzA4NzEwOTM=Unknown Firewall (573705e26)2018-06-09T09:40:10Z2018-06-11T15:20:43ZTrue
MDU6SXNzdWUzMzEwNjA0NTA=Unknown Firewall (87fbeeb8e)2018-06-11T06:31:31Z2018-06-11T15:20:02ZTrue
MDU6SXNzdWUzMzM4MDAyNTQ=Unknown Firewall (2018-06-19T19:06:13Z2018-06-20T16:41:23ZTrue
MDU6SXNzdWUzMzQxNjEzODE=Unknown Firewall (12018-06-20T16:37:43Z2018-06-20T16:41:08ZTrue
MDU6SXNzdWUzMzQxNjE2NDc=Unknown Firewall (2018-06-20T16:38:30Z2018-06-20T16:41:08ZTrue
MDU6SXNzdWUzMzQxNjE5Mjc=Unknown Firewall (12018-06-20T16:39:19Z2018-06-20T16:41:08ZTrue
MDU6SXNzdWUzMzQxNjI0MDI=Unknown Firewall2018-06-20T16:40:47Z2018-06-20T16:41:08ZTrue
MDU6SXNzdWUzMzQxNjMxODQ=Unknown Firewall (1382a2ca5)2018-06-20T16:43:07Z2018-06-20T16:45:55ZTrue
MDU6SXNzdWUzMzU5MzE1OTU=Unknown Firewall (689efdeeb)2018-06-26T18:01:14Z2018-06-28T12:59:51ZTrue
MDU6SXNzdWUzMzY1OTkzMDU=Unknown Firewall (52b3bc4f5)2018-06-28T12:25:43Z2018-06-28T13:00:35ZTrue
MDU6SXNzdWUzMzkxNjE2MTk=[FATAL] WhatWaf has caught an unhandled exception with the error message: ''>' not supported between instances of 'NoneType' and 'int''. 2018-07-07T17:21:26Z2018-07-09T16:39:44ZTrue
MDU6SXNzdWUzMzkxNjIzMzU=[FATAL] WhatWaf has caught an unhandled exception with the error message: 'Unicode-objects must be encoded before hashing'.2018-07-07T17:32:56Z2018-07-20T13:44:32ZTrue
MDU6SXNzdWUzNDEyMjY4NTA=Unknown Firewall (9108ab772)2018-07-14T10:32:54Z2018-07-20T13:36:21ZTrue
MDU6SXNzdWUzNDMwOTA1MTk=[FATAL] WhatWaf has caught an unhandled exception with the error message: 'list index out of range'2018-07-20T12:33:13Z2018-07-20T13:16:24ZTrue
MDU6SXNzdWUzNDMxMTI0NDM=Unknown Firewall (3270b3eca)2018-07-20T13:42:29Z2018-07-20T13:42:56ZTrue
MDU6SXNzdWUzNDY0NTgxMDA=Unknown Firewall (ed96c5382)2018-08-01T05:56:27Z2018-08-01T13:51:58ZTrue
MDU6SXNzdWUzNDc3NzM2MTI=Amount of requests count2018-08-06T04:21:40Z2018-08-22T01:56:18ZTrue
MDU6SXNzdWUzNDgxNTM2MDA=Unknown Firewall (40945297f)2018-08-07T03:29:12Z2018-08-09T15:34:56ZTrue
MDU6SXNzdWUzNDgyMDM1ODc=Unknown Firewall (35f746bf3)2018-08-07T07:40:09Z2018-08-09T19:00:08ZTrue
MDU6SXNzdWUzNDkxOTM3MDQ=Unknown Firewall (a6408d86e)2018-08-09T16:07:17Z2018-08-09T16:07:40ZTrue
MDU6SXNzdWUzNDkyNTAxNTg=Unknown Firewall (25be038bb)2018-08-09T18:59:42Z2018-08-09T19:23:48ZTrue
MDU6SXNzdWUzNDk1NDg2MzY=Bug in file names when writing to different file types2018-08-10T14:58:39Z2018-08-10T15:02:26ZTrue
MDU6SXNzdWUzNTE4NzgzOTA=Missing parentheses in call to 'print'  in anyu.py2018-08-19T06:30:49Z2018-08-19T14:58:41ZTrue
MDU6SXNzdWUzNTI0MjU5NDc=Unknown Firewall (51a1149a9)2018-08-21T07:57:12Z2018-08-21T16:17:19ZTrue
MDU6SXNzdWUzNTI2NDg2NTU=Unknown Firewall (35052214f)2018-08-21T18:00:36Z2018-08-24T21:44:06ZTrue
MDU6SXNzdWUzNTMwMzQ3ODk=Unknown Firewall (5d4904055)2018-08-22T16:38:35Z2018-08-22T22:40:19ZTrue
MDU6SXNzdWUzNTM5Mzc2MjU=Unknown Firewall (448e01a6d)2018-08-24T21:44:31Z2018-08-31T18:49:18ZTrue
MDU6SXNzdWUzNTM5MzgxNDc=unsupported operand type(s) for +=: 'int' and 'NoneType'2018-08-24T21:46:47Z2018-08-27T20:26:02ZTrue
MDU6SXNzdWUzNTQwMzgxMzc=Unknown Firewall (5af1d8ded)2018-08-25T19:39:26Z2018-08-31T18:45:43ZTrue
MDU6SXNzdWUzNTQ0NjE1MDM=Unknown Firewall (b5b8636d5)2018-08-27T20:14:43Z2018-08-27T20:23:58ZTrue
MDU6SXNzdWUzNTQ2NDA1MTY=Unknown Firewall (fa074b5fa)2018-08-28T09:14:36Z2018-11-21T14:27:44ZTrue
MDU6SXNzdWUzNTQ4NTQzMzU=Unknown Firewall (d800e54ba)2018-08-28T18:40:27Z2018-08-28T18:47:30ZTrue
MDU6SXNzdWUzNTUwNDAwNzY=Unknown Firewall (bb13a6f04)2018-08-29T07:52:40Z2018-09-28T16:06:12ZTrue
MDU6SXNzdWUzNTU4NDU5MDg=Unknown Firewall (e29fb9012)2018-08-31T05:38:39Z2018-08-31T18:41:02ZTrue
MDU6SXNzdWUzNTU5NTc5Mjk=Unknown Firewall (ed8c0bbe5)2018-08-31T12:18:44Z2018-08-31T18:40:47ZTrue
MDU6SXNzdWUzNTYwNjQ2MTI=Unknown Firewall (25e35fc0a)2018-08-31T17:29:16Z2018-08-31T18:39:54ZTrue
MDU6SXNzdWUzNTYwNjc5MTI=Unknown Firewall (9d55626f3)2018-08-31T17:40:42Z2018-08-31T18:39:32ZTrue
MDU6SXNzdWUzNTYyNjM2Njc=Unknown Firewall (4c25a4405)2018-09-02T08:37:23Z2018-09-06T15:37:42ZTrue
MDU6SXNzdWUzNTY1Nzc1NDc=Unknown Firewall (cbfb7fd6f)2018-09-03T18:19:22Z2018-09-06T15:38:16ZTrue
MDU6SXNzdWUzNTc0OTY5ODg=Unknown Firewall (a89976b23)2018-09-06T05:01:31Z2018-09-28T16:05:50ZTrue
MDU6SXNzdWUzNTc1MTkxNzE=Unknown Firewall (fdef37a30)2018-09-06T06:53:37Z2018-09-20T02:39:50ZTrue
MDU6SXNzdWUzNjA3Mzk2NDM=Unknown Firewall (e04892961)2018-09-17T06:40:55Z2018-09-20T02:40:57ZTrue
MDU6SXNzdWUzNjE4NTc4NzE=Unknown Firewall (a74192aa6)2018-09-19T17:50:19Z2018-09-28T16:10:47ZTrue
